overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"03 10, 2018",A18STJN3901AV7,B0112111VM,maxGamer,"Junk, total junk. The first problem was that the lights won't stay on when you're using it. But fast forward a month after purchase and the dang thing won't work on half of the keys. You can mash whatever you want on one section and it works great, but the other half? Forget about it. You may as well be pressing a loaf of bread. No response what-so-ever.

Don't waste your money. Find literally any other keyboard and you'll be better off. Seriously. Even one you made yourself out of popsicle sticks and bubble gum.",Total crap!,1520640000,,,
1.0,False,"03 22, 2010",A1KUOSQ1YZZFTU,B002BU0DPE,a_friend_usa,This product is/was first available on 3-28-2010. All reviews before 3-28-2010 are therefore based on the older P21 headset. I have no idea how they apply to this new model.,Reviews before 3-28-10 are based on the older P21 Headset,1269216000,5,,
1.0,False,"12 14, 2008",A3284KYDZ00BZA,B001E2I4H4,Erich Maria Remarque,"You only get two (2) installs this time before the game becomes a coaster!

This would be hilarious if it wasn't sad. $40 for a short term rental... ROFL.

Avoid!",DRM,1229212800,13,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"04 16, 2016",A175A4QEG3661P,B017W16ZNA,Vin,"5 Stars for Japanese Version.

1 Star for the Watered Down Censored Version we got.",One Star,1460764800,21,,
1.0,False,"07 14, 2015",A1XIKZOVZA0W67,B00H55FWE2,QUOKKA_54,"Not sure why they decided to utterly ruin the battlefield franchise.  Maybe after battlefield 2 they recognized they ""could not make it better, so we better dumb this down!""  And dumbed down it is.  Complicated.  Have to download a bunch of ""browser plugins"" just to play a game?!  Stupid.  The game play is stupid.  The server system is stupid.  The weapons are cool but unless you have an ocean of patience you'll never get far enough to score a kill because this game seems designed to make you hate everything about it.  Graphics?  Hells yes, graphics so good you can see the texture of the steel on the tanks.  Does that matter?  not if the gameplay sucks, which it does.  BF hasn't been fun since battlefield 2, and if you want to have fun playing ""battlefield"" the best course would be to buy some Battlefield 2 discs from ebay (if you can get the damn code to work - the game plays just fine on win 7), go to ""revivebf2"" and download the laucnehr, add your username to the cloud (might have some issues there but once you get past that its smooth sailing) and log in to the several, still active servers on the (totally independent from EA) network.  BF2 is where they should have frozen development - i tried BF3 and its equaly as bad as 4.  As for this game, its a gold plated turd.  I recommend to skip it entirely unless you are a very accomplished gamer, liked BF 3, and none of this matters to you...otherwise please do yourself a favor and buy a fun game, like Bioshock 2.",Do not waste your money in this complicated garbage. If you do you will be sorry.,1436832000,,,
1.0,False,"09 4, 2006",A36Y3ZMIWOV2DA,B00004U8K2,Amazon Customer,"This game won't install on my new AMD 3500+ cpu, it freezes during disc 2.  Purchase with extreme caution.","Defective, needs to be recalled",1157328000,2,,
1.0,False,"12 21, 2013",A1MHB1HRR6VPEH,B00BU3ZLJQ,Stephanie,"This game is coming to ps4, so i would wait. Plus it is horrible on xbox. I heard it runs great on PC and PS4.",Wait until it comes to ps4,1387584000,3,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,False,"12 26, 2013",A37T2MU6L4521N,B00FF5KYME,Shenhua,"Just a plain bad idea, and if you buy this you're encouraging more bad games like this to be released just to rip people off. It's not even a good game, just trust me on this. If this was $5.99 I'd MAYBE say to get it, but charging as if this was a real game people make is just bad to do.","I bought this for 99 cents on Android, don't waste your money here.",1388016000,3,{'Format:': ' Video Game'},
1.0,False,"10 24, 2014",A20FW880UV3XZ3,B00DC7G1WE,Nedley,game is too sexist,"too sexist, could promote rape culture",1414108800,13,"{'Edition:': ' Standard', 'Platform:': ' Nintendo Wii U'}",
1.0,True,"05 29, 2011",AOI7W7P87YUFD,B000H96C9M,Andi,"I recently purchased this game so that I could play along with my boyfriend. First of all the box was slightly beat up, but I didn't pay much attention to that. I opened the box and tried to load the games. It was successful until I went to sign in. It turns out that these games are the European version, so not only can I not play with my boyfriend, but my computer saw the games as ""foreign"", freaked out, and now I am having some major problems. Nowhere on the box does it say that this is a ""European version"", so unless you read the itty bitty print on the back of the CD, or your computer freaks out like mine did, you would never know. I would recommend that no one buy these games from Amazon, either someone messed up, or they obviously don't know what they're doing. I am VERY unhappy and wish that I hadn't wasted my time, money, effort, and computer.",Waste of money!!,1306627200,4,{'Format:': ' Video Game'},
